year,N
92,7
92,5
92,8
92,15
92,11
92,14
92,10
92,10
92,7
92,11
92,12
92,22
92,18
92,28
92,24
92,23
92,21
92,10
92,11
92,9
92,3
92,2
92,1
92,1
92,3
92,2
92,2
92,2
92,2
92,2
92,5
92,9
92,9
92,2
92,5
92,4
92,5
92,1
92,2
92,3
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,3
92,3
92,3
92,2
92,3
92,5
92,2
92,3
92,2
92,6
92,9
92,1
92,3
92,8
92,15
92,11
92,11
92,11
92,6
92,3
92,4
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,3
92,1
92,1
92,1
92,2
92,5
92,3
92,1
92,8
92,5
92,6
92,8
92,14
92,4
92,12
92,4
92,2
92,3
92,2
92,2
92,1
92,1
92,1
92,1
92,2
92,2
92,6
92,7
92,2
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,4
92,1
92,1
92,1
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,5
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,6
92,3
92,2
92,6
92,2
92,4
92,3
92,4
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,1
92,2
92,5
92,1
92,4
92,5
92,2
92,2
92,1
92,1
92,2
92,1
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,6
92,3
92,3
92,1
92,1
92,2
92,3
92,2
92,2
92,2
92,1
92,1
92,3
92,1
92,1
92,2
92,1
92,1
92,1
92,3
92,1
92,2
92,1
92,4
92,1
92,2
92,2
92,2
92,7
92,10
92,8
92,9
92,21
92,11
92,21
92,19
92,23
92,12
92,17
92,13
92,5
92,6
92,1
92,2
92,1
92,1
92,3
92,1
92,1
92,3
92,5
92,8
92,7
92,7
92,12
92,4
92,1
92,7
92,12
92,10
92,15
92,8
92,21
92,8
92,12
92,5
92,11
92,2
92,7
92,2
92,2
92,1
92,1
92,2
92,1
92,5
92,2
92,1
92,7
92,5
92,3
92,1
92,3
92,1
92,1
92,1
92,2
92,1
92,4
92,2
92,1
92,4
92,2
92,6
92,2
92,3
92,4
92,9
92,3
92,10
92,6
92,5
92,7
92,3
92,2
92,3
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,3
92,1
92,2
92,2
92,1
92,2
92,2
92,5
92,11
92,7
92,2
92,9
92,6
92,2
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,2
92,4
92,1
92,3
92,2
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,3
92,4
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,3
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,1
92,3
92,6
92,1
92,1
92,2
92,8
92,4
92,19
92,5
92,14
92,9
92,6
92,4
92,3
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,4
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,1
92,1
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,1
92,5
92,8
92,4
92,10
92,14
92,15
92,17
92,18
92,10
92,26
92,11
92,30
92,20
92,26
92,21
92,37
92,27
92,35
92,16
92,39
92,6
92,12
92,7
92,4
92,1
92,2
92,1
92,1
92,1
92,2
92,3
92,1
92,2
92,2
92,4
92,9
92,8
92,7
92,7
92,17
92,9
92,8
92,6
92,12
92,3
92,4
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,5
92,1
92,2
92,2
92,2
92,2
92,1
92,3
92,5
92,4
92,5
92,4
92,12
92,9
92,16
92,15
92,15
92,18
92,19
92,14
